id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
2818,Quiet Garden View Room & Super Fast WiFi,3159,Daniel,,Oostelijk Havengebied - Indische Buurt,52.36575451,4.941419235,Private room,59,3,248,11/28/2018,2.1,1,44
3209,"Quiet apt near center, great view",3806,Maartje,,Westerpark,52.39022505,4.873924095,Entire home/apt,160,4,42,8/29/2018,1.03,1,47
20168,100%Centre-Studio 1 Private Floor/Bathroom,59484,Alex,,Centrum-Oost,52.36508703,4.893541008,Entire home/apt,80,1,233,11/30/2018,2.18,2,198
25428,Lovely apt in City Centre (Jordaan),56142,Joan,,Centrum-West,52.3731144,4.883668196,Entire home/apt,125,14,1,1/21/2018,0.09,2,141
27886,"Romantic, stylish B&B houseboat in canal district",97647,Flip,,Centrum-West,52.38672732,4.89207807,Private room,150,2,171,11/25/2018,2.03,1,199
28658,Cosy guest room near city centre -1,123414,Michele,,Bos en Lommer,52.37534218,4.85728935,Private room,65,3,434,11/19/2018,4.16,2,295
28871,Comfortable double room,124245,Edwin,,Centrum-West,52.36718681,4.890917797,Private room,75,2,215,12/3/2018,2.13,3,137
29051,Comfortable single room,124245,Edwin,,Centrum-West,52.36772541,4.891511737,Private room,55,2,383,12/5/2018,4.07,3,188
31080,2-story apartment + rooftop terrace,133488,Nienke,,Zuid,52.35132054,4.848382899,Entire home/apt,219,3,32,10/16/2017,0.36,1,336
41125,Amsterdam Center Entire Apartment,178515,Fatih,,Centrum-West,52.37891477,4.883205056,Entire home/apt,180,3,76,10/7/2018,0.78,1,11
42970,Comfortable room@PERFECT location + 2 bikes,187580,Micha,,Centrum-West,52.36781448,4.890012023,Private room,159,3,426,11/24/2018,4.24,2,89
43980,View into park / museum district (long/short stay),65041,Ym,,Zuid,52.35745628,4.861242085,Entire home/apt,100,28,61,2/18/2018,0.62,2,10
44129,Luxury design with canal view,187728,Tanya,,Centrum-West,52.38071123,4.886104318,Entire home/apt,250,2,176,10/1/2018,1.74,4,16
44391,"Amsterdam Centre, 3-room Apartment",194779,Jan,,Centrum-Oost,52.37016999,4.914377827,Entire home/apt,200,3,31,11/18/2018,0.31,1,0
45246,Cozy Flat in the Jordaan (center),200188,George,,Westerpark,52.3776764,4.876178649,Entire home/apt,155,3,79,10/21/2018,0.79,1,253
46386,Cozy loft in central Amsterdam,207342,Joost,,De Pijp - Rivierenbuurt,52.35247026,4.90825444,Entire home/apt,150,3,3,1/3/2018,0.03,1,0
47061,Charming apartment in old centre,211696,Ivar,,De Baarsjes - Oud-West,52.3679861,4.874469332,Entire home/apt,140,2,167,11/3/2018,1.67,1,0
48076,Amsterdam Central and lot of space,219080,Franklin,,Centrum-West,52.38042002,4.894534735,Entire home/apt,350,5,159,12/4/2018,1.82,2,276
49790,Luxurous Houseboat-Great Location,227530,Klaas,,De Baarsjes - Oud-West,52.36266379,4.86103174,Entire home/apt,225,3,98,11/18/2018,1.06,1,296
50515,"Family Home (No drugs, smoking or parties)",231864,Karin,,Bos en Lommer,52.3772724,4.839252563,Entire home/apt,120,3,12,8/24/2018,0.21,1,79
50518,Perfect central Amsterdam apartment,231806,Nikki,,Westerpark,52.38200613,4.878649621,Entire home/apt,125,1,91,11/18/2018,1.22,1,0
50523,B & B de 9 Straatjes (city center),231946,Raymond,,Centrum-West,52.3684079,4.884133705,Private room,115,2,213,11/21/2018,2.21,1,206
50570,Bright Apartment - residential area,232321,Evert,,Bos en Lommer,52.37773744,4.848911991,Entire home/apt,90,4,152,8/25/2018,1.62,2,19
52490,Amsterdam Aqua,185836,VictorLuke,,Oostelijk Havengebied - Indische Buurt,52.37004589,4.938691236,Private room,72,3,81,11/25/2018,0.82,1,11
53067,Green studio at the attic of a townhouse,246493,Studio,,De Pijp - Rivierenbuurt,52.35339267,4.900637643,Private room,87,1,333,12/2/2018,3.4,5,2
53671,Nice room near centre with en suite bath,247822,Georg,,Westerpark,52.38905337,4.885588535,Private room,75,3,261,12/2/2018,2.8,1,289
53692,Large quiet Studio with gardenview in hip area.,246493,Studio,,De Pijp - Rivierenbuurt,52.35348316,4.900490172,Private room,60,3,219,6/22/2018,2.4,5,47
55256,Luminous centric room,260785,Lotte,,Centrum-Oost,52.37125689,4.903513145,Private room,86,1,120,11/25/2018,1.26,1,129
55703,groundfloor apartment with patio,263214,Arjan,,Bos en Lommer,52.37560816,4.858187468,Entire home/apt,250,3,3,10/19/2016,0.07,1,0
55709,Bright Loft in Centre Amsterdam,263233,Jan-Willem,,Centrum-Oost,52.3589565,4.897259341,Entire home/apt,159,5,53,10/15/2018,0.54,1,32
55807,"Greatly located, cozy atmosphere",263844,Rai & Clo,,De Baarsjes - Oud-West,52.36965708,4.862025427,Private room,60,2,150,6/8/2018,1.53,1,122
55868,Apartment near Museumplein (centre),264178,Cornelie,,Zuid,52.35613298,4.885149547,Entire home/apt,149,4,88,8/13/2018,0.91,1,107
56879,"86 m2, city centre & lovely view",270282,Linda & Theo,,Centrum-West,52.38453335,4.892545432,Entire home/apt,112,28,1,7/27/2012,0.01,1,277
57408,Very Bright & Spacious Apt + 4 Bikes,273329,Bart,,Oostelijk Havengebied - Indische Buurt,52.36192979,4.936400957,Entire home/apt,100,4,420,9/30/2017,4.29,2,5
57978,Still cosy X Mas availability!,276959,Elisabeth,,De Baarsjes - Oud-West,52.36448157,4.877220554,Entire home/apt,125,3,145,6/18/2018,1.48,1,315
58211,En Suite accommodation in a monumental canal house,278253,Marcel,,Centrum-West,52.36916479,4.884445345,Private room,225,3,82,10/29/2018,1.05,2,212
62015,"Charming, beautifully & sunny place",301340,Jessica,,Oud-Oost,52.36445272,4.931235931,Entire home/apt,109,2,21,10/21/2018,0.22,1,30
62801,Very nice appartment ALL of januari,306117,Jan,,Bos en Lommer,52.38458683,4.854626513,Entire home/apt,750,30,0,,,1,364
64736,Luxury Houseboat,306192,Conny,,De Baarsjes - Oud-West,52.36348131,4.867833978,Entire home/apt,145,4,92,7/30/2018,1.43,1,0
64769,Unique 3 bedroom house in Centre,312863,Marijntje,,Centrum-Oost,52.36225384,4.901999344,Entire home/apt,450,4,26,8/4/2018,0.28,1,72
65230,Juwelier,213960,Riek,,Centrum-West,52.36871304,4.89284339,Entire home/apt,179,3,83,1/19/2018,0.91,1,358
67841,Amsterdam - The Pijp Apartment 1A,335166,Dene,,De Pijp - Rivierenbuurt,52.35472483,4.893237543,Entire home/apt,100,3,9,7/25/2018,0.14,2,29
68290,Rebel / Private Room,336950,Manuel,,Centrum-West,52.36887078,4.895233891,Private room,109,1,574,11/29/2018,6.1,3,158
68873,Yves Klein / Private Room,336950,Manuel,,Centrum-West,52.36950064,4.89555971,Private room,109,1,527,11/25/2018,5.56,3,163
69042,Cozy Studio || Located at the canal!,344312,Kjetil,,Centrum-West,52.3735272,4.876905974,Private room,116,3,131,12/3/2018,1.41,2,7
73208,Centre Museum Quarter Apt Roof Deck,381900,Vikki,,Zuid,52.35935098,4.876721556,Entire home/apt,220,5,58,7/30/2018,0.62,1,3
73917,B28 Unique Houseboat  Herengracht,387205,Edwin,,Centrum-West,52.3789428,4.890601996,Entire home/apt,175,3,82,8/5/2018,1.22,1,320
74367,Dutch designer canal house apartment (city centre),391075,Ruben,,Centrum-West,52.37479554,4.880446471,Entire home/apt,260,7,10,11/9/2011,0.11,1,304
75382,Garden Suite Studiohttps://www.airbnb.com/manage-l,399879,Tina,,Oud-Oost,52.36482489,4.927615549,Private room,105,3,178,11/30/2018,1.93,3,84
